epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34494,4.12259,5.78008,1.64334,0,0,0,0,3.65338,5.7381,1.41971,0,0,0
2,8.63486,4.63227,5.82599,1.5974,0,0,0,0,3.63903,5.73828,1.43363,1.78396e-06,1.78396e-06,1.78396e-06
3,10.957,4.07219,5.85268,1.56478,0,0,0,0,3.62902,5.74071,1.44101,3.49586e-06,3.49586e-06,3.49586e-06
4,13.1386,4.40146,5.83267,1.64324,0,0,0,0,3.62946,5.74602,1.4395,5.13568e-06,5.13568e-06,5.13568e-06
5,14.9087,4.35472,5.79934,1.67703,0,0,0,0,3.64054,5.75014,1.43648,6.70342e-06,6.70342e-06,6.70342e-06
6,16.6258,4.00947,5.77206,1.5877,0,0,0,0,3.64889,5.74929,1.43332,8.1991e-06,8.1991e-06,8.1991e-06
7,18.5361,4.42426,5.88069,1.65576,0,0,0,0,3.64773,5.7443,1.43529,9.6227e-06,9.6227e-06,9.6227e-06
8,20.4717,3.97445,5.75449,1.55641,0,0,0,0,3.64415,5.74422,1.42966,1.09742e-05,1.09742e-05,1.09742e-05
9,22.3519,4.0654,5.76613,1.59364,0,0,0,0,3.64605,5.74106,1.43293,1.22537e-05,1.22537e-05,1.22537e-05
10,23.9712,4.0603,5.74528,1.56073,0,0,0,0,3.6419,5.7405,1.4272,1.34611e-05,1.34611e-05,1.34611e-05
11,25.7089,4.23365,5.76691,1.4891,0,0,0,0,3.63758,5.73947,1.41315,1.45964e-05,1.45964e-05,1.45964e-05
12,27.5569,4.142,5.76611,1.49369,0,0,0,0,3.62916,5.73608,1.40217,1.56596e-05,1.56596e-05,1.56596e-05
13,29.5171,3.83814,5.75264,1.44058,0,0,0,0,3.62077,5.73563,1.39022,1.66508e-05,1.66508e-05,1.66508e-05
14,31.493,3.94394,5.72967,1.52562,0,0,0,0,3.60198,5.73719,1.37497,1.75699e-05,1.75699e-05,1.75699e-05
15,33.1901,3.70909,5.69755,1.41461,0,0,0,0,3.56421,5.73607,1.36066,1.84169e-05,1.84169e-05,1.84169e-05
16,35.1074,3.67,5.70476,1.41491,0,0,0,0,3.54451,5.73316,1.34845,1.91919e-05,1.91919e-05,1.91919e-05
17,36.4923,3.50124,5.6961,1.38851,0,0,0,0,3.5223,5.72952,1.33493,1.98948e-05,1.98948e-05,1.98948e-05
18,37.9264,3.41064,5.6268,1.36659,0,0,0,0,3.5223,5.72952,1.33493,2.05256e-05,2.05256e-05,2.05256e-05
19,39.4159,3.49662,5.63758,1.4009,0,0,0,0,3.49764,5.72432,1.32329,2.10843e-05,2.10843e-05,2.10843e-05
20,40.944,3.14241,5.62142,1.35124,0,0,0,0,3.49764,5.72432,1.32329,2.1571e-05,2.1571e-05,2.1571e-05
21,42.5008,3.15895,5.65117,1.29879,0,0,0,0,3.47554,5.7253,1.31479,2.19856e-05,2.19856e-05,2.19856e-05
22,44.0355,3.71115,5.66662,1.3797,0,0,0,0,3.47554,5.7253,1.31479,2.23281e-05,2.23281e-05,2.23281e-05
23,45.9056,3.37962,5.69061,1.27831,0,0,0,0,3.43894,5.72663,1.29382,2.25986e-05,2.25986e-05,2.25986e-05
24,47.5191,3.3754,5.61528,1.31327,0,0,0,0,3.43894,5.72663,1.29382,2.2797e-05,2.2797e-05,2.2797e-05
25,49.1827,3.10998,5.64255,1.25818,0,0,0,0,3.43578,5.72688,1.28676,2.29233e-05,2.29233e-05,2.29233e-05
26,50.7279,3.02471,5.60271,1.26761,0,0,0,0,3.43578,5.72688,1.28676,2.29775e-05,2.29775e-05,2.29775e-05
27,52.3295,3.32632,5.6422,1.24504,0,0,0,0,3.4456,5.72479,1.27907,2.29597e-05,2.29597e-05,2.29597e-05
28,53.7964,3.30575,5.64563,1.28429,0,0,0,0,3.4456,5.72479,1.27907,2.28698e-05,2.28698e-05,2.28698e-05
29,55.3276,3.24461,5.6283,1.22122,0,0,0,0,3.43366,5.71373,1.2713,2.27078e-05,2.27078e-05,2.27078e-05
30,56.7502,3.20876,5.64856,1.2374,0,0,0,0,3.43366,5.71373,1.2713,2.24737e-05,2.24737e-05,2.24737e-05
31,58.3621,3.76567,5.61962,1.30809,0,0,0,0,3.40282,5.70258,1.25771,2.21676e-05,2.21676e-05,2.21676e-05
32,59.8865,3.17143,5.66294,1.20266,0,0,0,0,3.40282,5.70258,1.25771,2.17894e-05,2.17894e-05,2.17894e-05
33,61.6606,3.46231,5.63197,1.25556,0,0,0,0,3.31829,5.69265,1.23788,2.13391e-05,2.13391e-05,2.13391e-05
34,63.3403,3.02559,5.59377,1.20911,0,0,0,0,3.31829,5.69265,1.23788,2.08168e-05,2.08168e-05,2.08168e-05
35,64.9108,3.56631,5.58786,1.19986,0,0,0,0,3.27378,5.68293,1.22886,2.02224e-05,2.02224e-05,2.02224e-05
36,66.157,2.94915,5.6107,1.21946,0,0,0,0,3.27378,5.68293,1.22886,1.95559e-05,1.95559e-05,1.95559e-05
37,67.7283,3.38598,5.61001,1.26131,0,0,0,0,3.23907,5.67711,1.218,1.88173e-05,1.88173e-05,1.88173e-05
38,69.2532,3.39931,5.60759,1.2993,0,0,0,0,3.23907,5.67711,1.218,1.80067e-05,1.80067e-05,1.80067e-05
39,70.866,3.00909,5.57112,1.22928,0,0,0,0,3.21241,5.67149,1.21306,1.7124e-05,1.7124e-05,1.7124e-05
40,72.3148,2.95221,5.58674,1.16642,0,0,0,0,3.21241,5.67149,1.21306,1.61692e-05,1.61692e-05,1.61692e-05
41,73.6271,2.65624,5.55714,1.13567,0,0,0,0,3.20761,5.66382,1.21119,1.51424e-05,1.51424e-05,1.51424e-05
42,75.0733,2.57585,5.5474,1.11769,0,0,0,0,3.20761,5.66382,1.21119,1.40435e-05,1.40435e-05,1.40435e-05
43,76.5667,3.46008,5.70723,1.20403,0,0,0,0,3.17329,5.65514,1.19848,1.28725e-05,1.28725e-05,1.28725e-05
44,77.8105,2.79194,5.56792,1.14017,0,0,0,0,3.17329,5.65514,1.19848,1.16294e-05,1.16294e-05,1.16294e-05
45,79.035,2.8123,5.57097,1.11287,0,0,0,0,3.18261,5.64987,1.19467,1.03143e-05,1.03143e-05,1.03143e-05
46,80.2089,2.8944,5.57586,1.1504,0,0,0,0,3.18261,5.64987,1.19467,8.9271e-06,8.9271e-06,8.9271e-06
47,81.5709,2.91812,5.56142,1.14393,0,0,0,0,3.18225,5.64728,1.18236,7.46782e-06,7.46782e-06,7.46782e-06
48,82.8839,2.79601,5.50214,1.14819,0,0,0,0,3.18225,5.64728,1.18236,5.93648e-06,5.93648e-06,5.93648e-06
49,84.1955,2.88532,5.56472,1.09674,0,0,0,0,3.18143,5.64367,1.17493,4.33306e-06,4.33306e-06,4.33306e-06
50,85.4232,2.76975,5.55882,1.14988,0,0,0,0,3.18143,5.64367,1.17493,2.65756e-06,2.65756e-06,2.65756e-06
