epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
1	6,47698	4,12259	5,78008	1,64334	0	0	0	0	3,65338	5,7381	1,41971	0	0	0
2	11,5891	4,63227	5,82599	1,5974	0	0	0	0	3,63898	5,73828	1,43362	1,8188e-06	1,8188e-06	1,8188e-06
3	15,014	4,07208	5,85264	1,56472	0	0	0	0	3,62887	5,74069	1,4409	3,6352e-06	3,6352e-06	3,6352e-06
4	21,7013	4,40088	5,8325	1,64292	0	0	0	0	3,62885	5,74597	1,43913	5,44919e-06	5,44919e-06	5,44919e-06
5	26,6395	4,35235	5,79886	1,67584	0	0	0	0	3,63932	5,75004	1,43587	7,26078e-06	7,26078e-06	7,26078e-06
6	30,8645	4,00646	5,77142	1,58601	0	0	0	0	3,64659	5,74919	1,43192	9,06997e-06	9,06997e-06	9,06997e-06
7	34,3829	4,41899	5,87895	1,6524	0	0	0	0	3,64453	5,74418	1,43267	1,08768e-05	1,08768e-05	1,08768e-05
8	37,276	3,96993	5,7527	1,55233	0	0	0	0	3,63983	5,74387	1,42613	1,26811e-05	1,26811e-05	1,26811e-05
9	40,4542	4,04959	5,76244	1,5854	0	0	0	0	3,63894	5,74065	1,42733	1,44831e-05	1,44831e-05	1,44831e-05
10	43,2044	4,03156	5,74107	1,54892	0	0	0	0	3,63187	5,73994	1,41588	1,62827e-05	1,62827e-05	1,62827e-05
11	45,8234	4,19901	5,76007	1,47569	0	0	0	0	3,62863	5,73785	1,40186	1,80799e-05	1,80799e-05	1,80799e-05
12	48,5091	4,09326	5,75684	1,47519	0	0	0	0	3,62301	5,73237	1,39155	1,98747e-05	1,98747e-05	1,98747e-05
13	51,2387	3,7867	5,74208	1,42088	0	0	0	0	3,60207	5,7354	1,37301	2,1667e-05	2,1667e-05	2,1667e-05
14	54,4342	3,88393	5,7208	1,49759	0	0	0	0	3,56924	5,73288	1,35707	2,3457e-05	2,3457e-05	2,3457e-05
15	56,9817	3,65064	5,68066	1,38113	0	0	0	0	3,52749	5,7286	1,33599	2,52446e-05	2,52446e-05	2,52446e-05
16	60,369	3,61236	5,69575	1,37273	0	0	0	0	3,49211	5,72477	1,31112	2,70297e-05	2,70297e-05	2,70297e-05
17	63,0934	3,47065	5,68735	1,3474	0	0	0	0	3,48961	5,72081	1,29954	2,88125e-05	2,88125e-05	2,88125e-05
18	65,9435	3,31792	5,61241	1,32553	0	0	0	0	3,48961	5,72081	1,29954	3,05929e-05	3,05929e-05	3,05929e-05
19	68,721	3,3916	5,61722	1,3532	0	0	0	0	3,47044	5,71543	1,28987	3,23708e-05	3,23708e-05	3,23708e-05
20	71,2565	3,09404	5,60603	1,3058	0	0	0	0	3,47044	5,71543	1,28987	3,41464e-05	3,41464e-05	3,41464e-05
21	73,8645	3,03315	5,62793	1,24316	0	0	0	0	3,49446	5,71797	1,27393	3,59195e-05	3,59195e-05	3,59195e-05
22	76,4416	3,52587	5,63631	1,31181	0	0	0	0	3,49446	5,71797	1,27393	3,76903e-05	3,76903e-05	3,76903e-05
23	79,2392	3,26424	5,66322	1,22055	0	0	0	0	3,48913	5,70148	1,26591	3,94586e-05	3,94586e-05	3,94586e-05
24	81,7471	3,14507	5,57495	1,24205	0	0	0	0	3,48913	5,70148	1,26591	4,12246e-05	4,12246e-05	4,12246e-05
25	84,6235	2,96654	5,60831	1,20122	0	0	0	0	3,42678	5,69386	1,24801	4,29881e-05	4,29881e-05	4,29881e-05
26	87,1488	2,88884	5,55692	1,20842	0	0	0	0	3,42678	5,69386	1,24801	4,47492e-05	4,47492e-05	4,47492e-05
27	89,7204	3,10451	5,58997	1,17946	0	0	0	0	3,33833	5,68243	1,23198	4,6508e-05	4,6508e-05	4,6508e-05
28	92,1615	3,08842	5,58466	1,20047	0	0	0	0	3,33833	5,68243	1,23198	4,82643e-05	4,82643e-05	4,82643e-05
29	94,907	3,10521	5,5707	1,15317	0	0	0	0	3,25464	5,67683	1,22595	5,00183e-05	5,00183e-05	5,00183e-05
30	97,4049	2,93572	5,57502	1,15854	0	0	0	0	3,25464	5,67683	1,22595	5,17698e-05	5,17698e-05	5,17698e-05
31	100,256	3,54404	5,56426	1,23234	0	0	0	0	3,22385	5,66312	1,22591	5,35189e-05	5,35189e-05	5,35189e-05
32	102,802	3,03836	5,56736	1,14269	0	0	0	0	3,22385	5,66312	1,22591	5,52656e-05	5,52656e-05	5,52656e-05
33	105,379	3,16803	5,55319	1,15752	0	0	0	0	3,19158	5,65087	1,20713	5,701e-05	5,701e-05	5,701e-05
34	107,847	2,78976	5,51275	1,13677	0	0	0	0	3,19158	5,65087	1,20713	5,87519e-05	5,87519e-05	5,87519e-05
35	110,416	3,31521	5,49235	1,13081	0	0	0	0	3,13512	5,63442	1,20093	6,04914e-05	6,04914e-05	6,04914e-05
36	112,824	2,5443	5,50483	1,13008	0	0	0	0	3,13512	5,63442	1,20093	6,22285e-05	6,22285e-05	6,22285e-05
37	115,572	3,06372	5,49838	1,17135	0	0	0	0	3,04593	5,62154	1,16627	6,39632e-05	6,39632e-05	6,39632e-05
38	118,304	2,97394	5,50355	1,19053	0	0	0	0	3,04593	5,62154	1,16627	6,56956e-05	6,56956e-05	6,56956e-05
39	121,081	2,74028	5,42993	1,13738	0	0	0	0	2,91103	5,60716	1,1419	6,74255e-05	6,74255e-05	6,74255e-05
40	124,129	2,63531	5,43733	1,06788	0	0	0	0	2,91103	5,60716	1,1419	6,9153e-05	6,9153e-05	6,9153e-05
41	126,684	2,92162	5,45149	1,12616	0	0	0	0	2,79214	5,58502	1,11381	7,08781e-05	7,08781e-05	7,08781e-05
42	129,428	2,89588	5,41204	1,13197	0	0	0	0	2,79214	5,58502	1,11381	7,26008e-05	7,26008e-05	7,26008e-05
43	132,134	2,77131	5,39849	1,11584	0	0	0	0	2,7033	5,56505	1,07799	7,43211e-05	7,43211e-05	7,43211e-05
44	135,045	2,70027	5,38402	1,09838	0	0	0	0	2,7033	5,56505	1,07799	7,6039e-05	7,6039e-05	7,6039e-05
45	138,271	2,67904	5,37027	1,06728	0	0	0	0	2,63184	5,56205	1,04529	7,77545e-05	7,77545e-05	7,77545e-05
46	141,369	2,90815	5,32644	1,0752	0	0	0	0	2,63184	5,56205	1,04529	7,94676e-05	7,94676e-05	7,94676e-05
47	146,181	2,54487	5,31537	1,06435	0	0	0	0	2,55346	5,55385	1,0173	8,11783e-05	8,11783e-05	8,11783e-05
48	148,794	2,54846	5,29588	1,06938	0	0	0	0	2,55346	5,55385	1,0173	8,28865e-05	8,28865e-05	8,28865e-05
49	150,953	2,84886	5,29069	1,11702	0	0	0	0	2,54848	5,54501	1,02416	8,45924e-05	8,45924e-05	8,45924e-05
50	153,608	2,46994	5,22858	1,06333	0	0	0	0	2,54848	5,54501	1,02416	8,62959e-05	8,62959e-05	8,62959e-05
51	157,078	2,69008	5,27515	1,09478	0	0	0	0	2,49535	5,53425	1,00252	8,7997e-05	8,7997e-05	8,7997e-05
52	160,624	2,75965	5,18979	1,06109	0	0	0	0	2,49535	5,53425	1,00252	8,96957e-05	8,96957e-05	8,96957e-05
53	163,686	2,58807	5,13946	1,04135	0	0	0	0	2,49535	5,53425	1,00252	9,1392e-05	9,1392e-05	9,1392e-05
54	166,757	2,74318	5,25302	1,05409	0	0	0	0	2,42939	5,51397	0,99513	9,30858e-05	9,30858e-05	9,30858e-05
55	168,638	2,93218	5,15322	1,03906	0	0	0	0	2,42939	5,51397	0,99513	9,47773e-05	9,47773e-05	9,47773e-05
56	170,374	2,41802	5,10668	1,06606	0	0	0	0	2,42939	5,51397	0,99513	9,64664e-05	9,64664e-05	9,64664e-05
57	172,204	2,59567	5,13901	1,05758	0	0	0	0	2,37358	5,4907	0,98772	9,8153e-05	9,8153e-05	9,8153e-05
58	173,951	2,67863	5,17297	1,0348	0	0	0	0	2,37358	5,4907	0,98772	9,98373e-05	9,98373e-05	9,98373e-05
59	175,661	2,25747	5,1786	1,07916	0	0	0	0	2,37358	5,4907	0,98772	0,000101519	0,000101519	0,000101519
60	177,578	2,53827	5,1254	1,03957	0	0	0	0	2,34236	5,47067	0,98801	0,000103199	0,000103199	0,000103199
61	179,765	2,48975	5,04047	1,05185	0	0	0	0	2,34236	5,47067	0,98801	0,000104876	0,000104876	0,000104876
62	181,768	2,21134	5,06405	1,01203	0	0	0	0	2,34236	5,47067	0,98801	0,00010655	0,00010655	0,00010655
63	184,296	2,62298	5,12383	1,08117	0	0	0	0	2,31688	5,43576	0,98516	0,000108223	0,000108223	0,000108223
64	186,537	3,03782	5,10915	1,11548	0	0	0	0	2,31688	5,43576	0,98516	0,000109892	0,000109892	0,000109892
65	188,588	2,58789	5,08334	1,055	0	0	0	0	2,31688	5,43576	0,98516	0,00011156	0,00011156	0,00011156
66	190,744	2,34981	5,01287	1,01545	0	0	0	0	2,29892	5,39801	0,9702	0,000113225	0,000113225	0,000113225
67	192,821	2,43283	4,97263	1,03804	0	0	0	0	2,29892	5,39801	0,9702	0,000114888	0,000114888	0,000114888
68	194,471	2,69918	5,05093	1,06667	0	0	0	0	2,29892	5,39801	0,9702	0,000116548	0,000116548	0,000116548
