epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54662,4.05121,5.90507,1.59275,0,0,0,0,3.65626,5.76462,1.42274,0,0,0
2,10.3174,4.28301,5.99689,1.65785,0,0,0,0,3.64677,5.76739,1.44677,9.99999e-05,9.99999e-05,9.99999e-05
3,14.1015,4.134,5.90033,1.60304,0,0,0,0,3.62565,5.77073,1.44369,0.0002,0.0002,0.0002
4,17.5817,4.15417,5.91264,1.57131,0,0,0,0,3.64225,5.77398,1.43022,0.000299999,0.000299999,0.000299999
5,20.8175,3.89405,5.84645,1.51945,0,0,0,0,3.62006,5.76882,1.40261,0.000399998,0.000399998,0.000399998
6,24.3033,3.83775,5.81232,1.48865,0,0,0,0,3.69893,5.74349,1.33726,0.000499998,0.000499998,0.000499998
7,27.5834,3.36028,5.7872,1.37406,0,0,0,0,3.63904,5.72854,1.22747,0.000599996,0.000599996,0.000599996
8,31.3679,3.60246,5.86009,1.34665,0,0,0,0,3.60597,5.72679,1.14921,0.000699995,0.000699995,0.000699995
9,35.2256,3.44193,5.77589,1.27365,0,0,0,0,3.55341,5.71273,1.13898,0.000799994,0.000799994,0.000799994
10,39.0072,3.39576,5.78095,1.24943,0,0,0,0,3.52151,5.72674,1.12536,0.000899992,0.000899992,0.000899992
11,42.5499,3.33199,5.71147,1.20043,0,0,0,0,3.42412,5.71772,1.12185,0.00099999,0.00099999,0.00099999
12,45.4946,3.00038,5.72409,1.14788,0,0,0,0,3.01024,5.70369,1.11826,0.00109999,0.00109999,0.00109999
13,48.5091,2.75534,5.67451,1.11936,0,0,0,0,3.02964,5.6989,1.13785,0.00119999,0.00119999,0.00119999
14,51.4258,2.76222,5.70259,1.08904,0,0,0,0,3.18728,5.70729,1.16673,0.00129998,0.00129998,0.00129998
15,54.1499,2.70478,5.67428,1.05851,0,0,0,0,3.06705,5.70778,1.11019,0.00139998,0.00139998,0.00139998
16,57.0772,2.83893,5.64907,1.08038,0,0,0,0,3.43787,5.73271,1.18835,0.00149998,0.00149998,0.00149998
17,60.1052,3.02749,5.64381,1.11411,0,0,0,0,2.94112,5.69969,1.08982,0.00159997,0.00159997,0.00159997
18,62.9599,2.64476,5.57649,1.10039,0,0,0,0,2.94112,5.69969,1.08982,0.00169997,0.00169997,0.00169997
19,65.9483,2.72122,5.57485,1.06681,0,0,0,0,3.10716,5.70119,1.1327,0.00179997,0.00179997,0.00179997
20,68.9486,2.69236,5.55922,1.05043,0,0,0,0,3.10716,5.70119,1.1327,0.00189996,0.00189996,0.00189996
21,71.7627,2.65441,5.57172,1.06055,0,0,0,0,2.85124,5.67509,1.09405,0.00199996,0.00199996,0.00199996
22,74.6668,2.55635,5.52735,1.06465,0,0,0,0,2.85124,5.67509,1.09405,0.00209996,0.00209996,0.00209996
23,77.6539,2.63423,5.55327,1.04509,0,0,0,0,3.11372,5.6715,1.07439,0.00219995,0.00219995,0.00219995
24,80.3902,2.71048,5.52094,1.05832,0,0,0,0,3.11372,5.6715,1.07439,0.00229995,0.00229995,0.00229995
25,83.4627,2.60125,5.49437,1.03699,0,0,0,0,2.75315,5.66357,1.04022,0.00239994,0.00239994,0.00239994
26,86.4958,2.56375,5.51333,1.06595,0,0,0,0,2.75315,5.66357,1.04022,0.00249994,0.00249994,0.00249994
27,89.4939,2.69641,5.49584,1.04165,0,0,0,0,2.88299,5.67312,1.04546,0.00259993,0.00259993,0.00259993
28,92.5898,2.81029,5.47492,1.05193,0,0,0,0,2.88299,5.67312,1.04546,0.00269993,0.00269993,0.00269993
29,95.8943,2.67083,5.46121,1.0446,0,0,0,0,2.44248,5.65195,0.98284,0.00279992,0.00279992,0.00279992
30,98.8039,2.52849,5.39613,0.99842,0,0,0,0,2.44248,5.65195,0.98284,0.00289992,0.00289992,0.00289992
